trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,1.1657854221045888e-08,1.1634114440418202e-08,1.240313257066136e-08,1.2415477518698715e-08
trial_a,agent,1.1657854221045888e-08,1.1634114440418202e-08,1.240313257066136e-08,1.2415477518698715e-08
trial_a,ramp,1.966043883698827e-08,1.964239558945272e-08,1.7788830284150186e-08,1.7914835055323963e-08
trial_b,physics,1.524819482312033e-07,1.5079154467908164e-07,2.626741032364708e-07,2.619442902481539e-07
trial_b,agent,1.524819482312033e-07,1.5079154467908164e-07,2.626741032364708e-07,2.619442902481539e-07
trial_b,ramp,2.4636613530370034e-07,2.476902521922175e-07,1.5458830648754479e-07,1.5523730542402612e-07
trial_c,physics,1.2415477518698711e-08,1.2403132570661357e-08,1.16341144404182e-08,1.1657854221045884e-08
trial_c,agent,1.7914835055323963e-08,1.7788830284150186e-08,1.964239558945272e-08,1.966043883698827e-08
trial_c,ramp,1.7914835055323963e-08,1.7788830284150186e-08,1.964239558945272e-08,1.966043883698827e-08
trial_d,physics,2.6194429024815394e-07,2.6267410323647086e-07,1.5079154467908167e-07,1.5248194823120339e-07
trial_d,agent,1.5523730542402615e-07,1.545883064875448e-07,2.476902521922175e-07,2.463661353037003e-07
trial_d,ramp,1.5523730542402615e-07,1.545883064875448e-07,2.476902521922175e-07,2.463661353037003e-07
