trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,1.0716105465478067e-08,1.0695926964779224e-08,1.1322782569754275e-08,1.1330713438722275e-08
trial_a,agent,1.0716105465478067e-08,1.0695926964779224e-08,1.1322782569754275e-08,1.1330713438722275e-08
trial_a,ramp,1.7670876194459627e-08,1.76586019610644e-08,1.61971133720589e-08,1.6259908468471707e-08
trial_b,physics,1.0264527413688966e-07,9.07976179958484e-08,6.315241126707403e-07,6.28064146611621e-07
trial_b,agent,1.0264527413688966e-07,9.07976179958484e-08,6.315241126707403e-07,6.28064146611621e-07
trial_b,ramp,4.3614896434479625e-07,4.385519724955961e-07,1.219237191316255e-07,1.2868632125924499e-07
trial_c,physics,1.1330713438722279e-08,1.1322782569754277e-08,1.0695926964779224e-08,1.0716105465478067e-08
trial_c,agent,1.6259908468471713e-08,1.6197113372058903e-08,1.76586019610644e-08,1.7670876194459634e-08
trial_c,ramp,1.6259908468471713e-08,1.6197113372058903e-08,1.76586019610644e-08,1.7670876194459634e-08
trial_d,physics,6.280641466116209e-07,6.3152411267074e-07,9.079761799584832e-08,1.0264527413688966e-07
trial_d,agent,1.2868632125924504e-07,1.2192371913162555e-07,4.385519724955962e-07,4.361489643447964e-07
trial_d,ramp,1.2868632125924504e-07,1.2192371913162555e-07,4.385519724955962e-07,4.361489643447964e-07
