trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,3.868960656754822e-11,4.289114744081397e-12,1.850348821808316e-06,2.618012385146706e-06
trial_a,agent,3.868960656754822e-11,4.289114744081397e-12,1.850348821808316e-06,2.618012385146706e-06
trial_a,ramp,5.174362726908313e-06,3.35033162848407e-06,1.942795262497847e-18,6.590727664048097e-16
trial_b,physics,1.83259544250065e-07,1.8125041767183984e-07,3.564423479504371e-07,3.5586883783415983e-07
trial_b,agent,1.83259544250065e-07,1.8125041767183984e-07,3.564423479504371e-07,3.5586883783415983e-07
trial_b,ramp,3.580430441302835e-07,3.612657430748446e-07,1.9402083727991308e-07,1.9443496990743563e-07
trial_c,physics,2.6180123851467058e-06,1.850348821808317e-06,4.289114744081416e-12,3.8689606567548254e-11
trial_c,agent,6.590727664048153e-16,1.9427952624978607e-18,3.3503316284840695e-06,5.174362726908313e-06
trial_c,ramp,6.590727664048153e-16,1.9427952624978607e-18,3.3503316284840695e-06,5.174362726908313e-06
trial_d,physics,3.5586883783415994e-07,3.564423479504371e-07,1.8125041767183984e-07,1.83259544250065e-07
trial_d,agent,1.9443496990743563e-07,1.9402083727991319e-07,3.6126574307484443e-07,3.580430441302834e-07
trial_d,ramp,1.9443496990743563e-07,1.9402083727991319e-07,3.6126574307484443e-07,3.580430441302834e-07
